Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Juan Soto","SDP",152,666,529,147,88,28,2,30,103,91,128,9,100,4,4,0,16,9,3,0.278407,0.192463,0.149717,1.28551,0.42062,0.509516,0.401087,0.930136,0.231109,3.91716,0.290385,,-0.384209,124.394,48.2938,165.321,-0.384209,-0.78,50.12414172291756,-8.913183450698853,6.67806,11.100000381469727,,,,"20123"
"Aaron Judge","NYY",149,647,543,151,81,27,2,41,102,105,93,10,174,6,4,0,10,9,3,0.27811,0.144366,0.268415,0.537848,0.38744,0.560809,0.401304,0.948248,0.282699,3.99347,0.331314,,-0.217949,121.011,47.0483,167.042,-0.217949,-2.07,48.58021545410156,-8.31680417060852,6.3906,3.7899999618530273,,,,"15640"
"Will Smith","LAD",129,528,458,123,71,25,2,25,74,78,54,3,101,10,5,0,7,2,1,0.268018,0.102895,0.190882,0.539052,0.354661,0.496938,0.366003,0.851599,0.22892,3.15593,0.288794,,-0.447904,83.9487,23.591,139.252,-0.447904,7.73,23.624567359685898,13.11756420135498,5.72248,57.790000915527344,,,,"19197"
"José Ramírez","CLE",151,651,572,153,86,34,4,29,94,94,66,10,86,6,6,0,8,22,6,0.267307,0.101545,0.131962,0.7695,0.346616,0.494565,0.357469,0.841181,0.227258,5.84787,0.26704,,1.46109,99.086,24.6726,135.152,1.46109,5.05,27.203511714935303,5.776742041110992,5.63908,3.2699999809265137,,,,"13510"
"Vladimir Guerrero Jr.","TOR",152,659,581,172,100,34,1,37,99,105,67,7,102,7,4,1,16,6,2,0.296755,0.102148,0.154683,0.660365,0.37394,0.548481,0.39276,0.922422,0.251726,3.22995,0.304201,,-0.4515,118.856,43.4757,160.873,-0.4515,0.45,44.70581388473511,-12.062305271625519,5.63201,11.630000114440918,,,,"19611"
"Fernando Tatis Jr.","SDP",116,504,441,124,63,24,2,34,87,86,54,4,135,5,3,0,7,20,5,0.280447,0.107716,0.267287,0.402999,0.363989,0.577743,0.39849,0.941732,0.297296,5.92738,0.325305,,1.3389,93.2202,35.5544,163.545,1.3389,3.69,38.57143843173981,-2.022857189178467,5.619,18.170000076293945,,,,"19709"
"Mike Trout","LAA",139,602,506,130,63,27,3,38,93,96,82,8,176,10,3,1,6,3,1,0.256822,0.136096,0.291768,0.466452,0.368901,0.546065,0.387854,0.914966,0.289244,4.0152,0.310476,,-0.304652,106.265,37.3811,154.928,-0.304652,-5.16,36.9311460852623,-3.561705708503723,5.51824,20.8700008392334,,,,"10155"
"Freddie Freeman","LAD",155,676,586,176,110,38,2,27,99,95,78,9,103,7,5,0,13,9,3,0.300596,0.114744,0.151822,0.755778,0.385941,0.508543,0.383117,0.894484,0.207947,4.11662,0.324109,,-0.189282,116.691,39.3997,150.954,-0.189282,1.89,39.82698814570904,-10.046882033348083,5.51465,14.489999771118164,,,,"5361"
"Ronald Acuña Jr.","ATL",143,633,544,147,83,31,2,31,102,84,75,5,159,10,3,1,8,31,9,0.269573,0.118272,0.250683,0.471798,0.366281,0.504688,0.374306,0.870969,0.235115,5.8573,0.323154,,1.88335,104.772,32.4426,140.811,1.88335,4.88,31.875633239746094,-1.1554884910583496,5.46004,1.8899999856948853,,,,"18401"
"Julio Rodríguez","SEA",145,627,563,156,96,29,4,27,90,80,52,5,149,9,3,1,11,20,5,0.277822,0.0826533,0.237918,0.347402,0.346556,0.489988,0.359171,0.836543,0.212166,6.12658,0.331588,,1.50409,96.3877,24.6378,141.312,1.50409,-1.35,30.674309730529785,0.8819597959518433,5.41167,4.019999980926514,,,,"23697"
"Trea Turner","PHI",152,665,608,175,113,35,5,21,97,80,46,1,118,5,4,1,12,28,6,0.287784,0.0693712,0.176857,0.392246,0.340527,0.468333,0.3498,0.80886,0.180549,6.658,0.324637,,2.66667,97.1724,21.1542,125.05,2.66667,-0.57,22.01513957977295,6.231364905834198,5.31429,2.4600000381469727,,,,"16252"
