Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Corbin Burnes","MIL",13,8,16,3.05815,31,31,0,0,191,762,149,70,65,19,52,1,9,233,10.9992,2.44103,4.50598,0.9136,0.305929,0.067894,0.23803501576185226,0.212803,1.0539,0.289329,0.75079,,,2.93846,4.94225,5.04327,14.270000457763672,5.44321,-0.967157,1.34105,"19361"
"Shohei Ohtani","LAA",13,8,14,3.11424,29,29,0,0,167,673,132,63,58,16,51,1,7,208,11.204,2.72407,4.11297,0.852452,0.308836,0.0750883,0.2337472289800644,0.213987,1.09181,0.295728,0.746132,,,2.88338,4.59467,4.02682,8.890000343322754,2.36796,-1.32622,1.06636,"19755"
"Jacob deGrom","TEX",10,6,13,2.87479,24,24,0,0,143,550,104,50,46,14,31,1,4,193,12.1973,1.94863,6.25944,0.884483,0.35142,0.0561423,0.2952771857380867,0.200805,0.942069,0.290447,0.739446,,,2.40935,4.53792,3.80951,29.479999542236328,7.48372,-0.877071,1.61312,"10954"
"Aaron Nola","PHI",13,10,15,3.50128,31,31,0,0,196,788,169,83,76,23,41,1,9,220,10.0653,1.86074,5.40932,1.05642,0.278838,0.0515477,0.22729051113128662,0.228612,1.06621,0.294043,0.713344,,,3.15574,4.52112,3.9917,33.560001373291016,3.79193,-1.15179,1.21177,"16149"
"Carlos Rodón","NYY",13,8,13,3.15444,29,29,0,0,169,676,130,64,59,18,50,1,7,215,11.4583,2.65971,4.30809,0.963958,0.318137,0.0738464,0.24429097771644592,0.209328,1.06326,0.288815,0.747049,,,2.96127,4.43838,4.07486,36.349998474121094,4.7444,-1.30266,1.14458,"16137"
"Max Scherzer","NYM",12,7,14,3.12355,27,27,0,0,166,661,134,63,58,20,36,1,8,201,10.8734,1.94999,5.57611,1.10396,0.304094,0.0545351,0.24955878034234047,0.217903,1.02465,0.288292,0.759046,,,3.08567,4.1994,3.992,46.29999923706055,4.02354,-2.86084,1.26257,"3137"
"Zack Wheeler","PHI",13,9,15,3.37646,30,30,0,0,183,746,163,75,69,18,44,1,7,185,9.07487,2.1486,4.22361,0.896393,0.247987,0.0587145,0.18927258998155594,0.234203,1.12564,0.293881,0.727898,,,3.22791,4.14465,4.00203,56.70000076293945,2.10138,-1.61981,0.855887,"10310"
"Spencer Strider","ATL",13,7,12,3.14943,29,29,0,0,157,630,116,60,55,15,55,1,7,213,12.2257,3.13377,3.90127,0.872614,0.337416,0.0864888,0.2509275749325752,0.203331,1.08744,0.294587,0.742958,,,2.82686,4.13873,3.98094,28.75,4.71873,-1.67152,1.03586,"27498"
"Gerrit Cole","NYY",15,8,17,3.27586,31,31,0,0,194,768,154,77,71,27,49,1,5,243,11.2858,2.2648,4.98313,1.26029,0.316169,0.0634479,0.25272098928689957,0.215231,1.04572,0.284936,0.7651,,,3.25511,4.07538,4.27757,15.680000305175781,4.18756,-2.3206,1.3511,"13125"
"Shane McClanahan","TBR",12,8,14,3.12059,29,29,0,0,172,691,141,65,60,16,47,1,5,195,10.1805,2.46689,4.12685,0.861463,0.281841,0.0682945,0.21354668587446213,0.22049,1.09249,0.290838,0.746602,,,2.9999,4.07512,4.16477,43.13999938964844,4.71637,-1.22181,1.04374,"21483"
"Sandy Alcantara","MIA",12,10,17,3.29484,31,30,0,0,204,829,179,81,75,19,51,2,9,190,8.4084,2.23312,3.76532,0.841608,0.229619,0.0609826,0.16863660141825676,0.232431,1.12629,0.285288,0.731748,,,3.33136,4.07008,4.38797,29.6200008392334,4.95399,0.149661,0.906345,"18684"
"Kevin Gausman","TOR",13,8,15,3.40266,31,31,0,0,179,720,159,73,67,22,38,1,5,200,10.0729,1.93129,5.21563,1.09536,0.277319,0.0531709,0.22414858266711235,0.235084,1.10636,0.301689,0.742984,,,3.18333,4.02162,3.49481,57.31999969482422,3.33505,-1.03776,0.925673,"14107"
"Justin Verlander","NYM",13,8,13,3.23918,27,27,0,0,165,656,136,64,59,21,36,1,6,183,9.97051,1.96547,5.07285,1.12515,0.278624,0.0549245,0.22369931265711784,0.220857,1.04075,0.279985,0.750289,,,3.27968,3.93681,3.80756,43.459999084472656,4.8559,-1.14293,1.14321,"8700"
"Luis Castillo","SEA",13,9,16,3.28359,32,32,0,0,191,786,162,76,70,16,62,2,8,203,9.53002,2.90832,3.27681,0.770175,0.257756,0.0786605,0.1790953204035759,0.225533,1.16766,0.291894,0.735875,,,3.19794,3.93559,3.57545,59.72999954223633,3.01149,-1.66933,0.975946,"15689"
"Logan Webb","SFG",13,10,15,3.57819,32,32,0,0,190,793,182,82,76,13,51,1,9,163,7.71231,2.42421,3.18137,0.637291,0.205428,0.0645722,0.14085566997528076,0.248131,1.22641,0.302542,0.704585,,,3.26218,3.8539,3.44666,111.0999984741211,3.25821,1.0273,0.977093,"17995"
"Max Fried","ATL",14,8,16,3.24013,30,30,0,0,183,747,168,71,66,17,42,2,7,167,8.2412,2.09014,3.94288,0.821145,0.224056,0.0568254,0.16723062843084335,0.240433,1.1502,0.2941,0.742206,,,3.27388,3.74581,4.53463,69.77999877929688,5.69453,0.462031,1.00991,"13743"
